,Tenure,Bandwidth_GB_Year,Churn,OnlineBackup,DeviceProtection,Area_Rural,Area_Suburban,Area_Urban,Contract_MonthToMonth,Contract_OneYear,Contract_TwoYear
0,6.795512947,904.5361102,0,1,0,0,0,1,0,1,0
1,1.156680997,800.9827661,1,0,0,0,0,1,1,0,0
2,15.75414408,2054.706961,0,0,0,0,0,1,0,0,1
3,17.08722662,2164.579412,0,0,0,0,1,0,0,0,1
4,1.670971726,271.4934362,1,0,0,0,1,0,1,0,0
5,7.000993555,1039.357983,0,1,1,0,0,1,0,1,0
6,13.23677381,1907.242972,1,0,0,0,1,0,1,0,0
7,4.26425515,979.6127078,1,1,0,0,1,0,1,0,0
8,8.220686373,1312.874964,0,1,0,0,1,0,1,0,0
9,3.422086139,508.7637913,0,0,1,1,0,0,0,0,1
10,19.26726194,2728.767869,0,1,0,0,0,1,1,0,0
11,10.52199781,1180.588788,0,0,1,1,0,0,1,0,0
12,13.01149229,1196.388018,0,0,0,1,0,0,1,0,0
13,16.87922024,1948.694497,0,0,0,0,0,1,0,0,1
14,10.06019902,1582.295235,1,1,0,0,0,1,1,0,0
15,13.87001293,1840.014467,1,0,0,0,1,0,0,1,0
16,15.78214958,2070.376729,1,1,1,0,0,1,1,0,0
17,2.303331273,882.0985933,1,0,1,1,0,0,0,0,1
18,17.10995632,1833.0967,0,1,1,1,0,0,0,0,1
19,12.80615845,1954.080809,1,0,0,1,0,0,1,0,0
20,20.45390977,2330.319383,0,1,1,1,0,0,1,0,0
21,2.415991977,594.1054279,0,0,1,0,1,0,0,0,1
22,6.652298992,713.0633088,0,0,0,0,0,1,1,0,0
23,8.543717478,945.3802928,0,0,0,0,0,1,0,1,0
24,5.770390256,870.76398,1,0,1,1,0,0,1,0,0
25,4.157658837,774.2937069,1,0,0,0,1,0,1,0,0
26,10.40566091,1506.446527,1,0,1,1,0,0,1,0,0
27,1.392421597,419.0508708,1,1,1,0,0,1,1,0,0
28,1.430386349,1259.415493,1,0,1,0,0,1,0,1,0
29,5.425864884,1745.125956,1,1,1,0,1,0,0,0,1
30,11.08287797,1795.465729,0,1,0,0,0,1,0,0,1
31,3.586184954,492.4771472,0,1,0,1,0,0,0,0,1
32,4.727388465,1013.993166,1,1,0,1,0,0,1,0,0
