,Churn,Contract_Month-to-month,Contract_One year,Contract_Two Year,DeviceProtection,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,MonthlyCharge,Multiple,OnlineBackup,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Phone,StreamingMovies,StreamingTV,Techie,Tenure
0,0,0,1,0,0,0,1,0,0,1,0,172.455519,0,1,0,1,0,0,1,1,0,0,6.795512947
1,1,1,0,0,0,1,0,0,0,1,0,242.632554,1,0,1,0,0,0,1,1,1,1,1.156680997
2,0,0,0,1,0,1,0,0,1,0,0,159.947583,1,0,0,1,0,0,1,1,0,1,15.75414408
3,0,0,0,1,0,0,1,0,1,0,0,119.95684,0,0,0,0,0,1,1,0,1,1,17.08722662
4,1,1,0,0,0,0,1,0,0,1,0,149.948316,0,0,0,0,0,1,0,0,1,0,1.670971726
5,0,0,1,0,1,1,0,0,0,0,1,185.007692,1,1,0,0,1,0,1,1,0,0,7.000993555
6,1,1,0,0,0,0,1,0,1,0,0,200.118516,0,0,0,0,1,0,1,1,1,1,13.23677381
7,1,1,0,0,0,1,0,0,1,0,0,114.950905,0,1,0,0,0,1,0,0,0,1,4.26425515
8,0,1,0,0,0,0,0,1,1,0,0,117.468591,0,1,1,0,0,0,1,0,0,0,8.220686373
9,0,0,0,1,1,1,0,0,0,1,0,162.482694,0,0,0,0,0,1,1,1,0,0,3.422086139
10,0,1,0,0,0,1,0,0,1,0,0,174.958118,1,1,0,0,0,1,1,0,1,0,19.26726194
11,0,1,0,0,1,1,0,0,0,1,0,149.962093,0,0,0,0,1,0,1,0,1,0,10.52199781
12,0,1,0,0,0,0,1,0,0,1,0,137.439154,0,0,1,0,0,0,1,0,1,0,13.01149229
13,0,0,0,1,0,1,0,0,0,1,0,184.971516,1,0,1,0,0,0,1,0,1,0,16.87922024
14,1,1,0,0,0,0,1,0,1,0,0,159.965581,1,1,1,0,0,0,0,0,0,0,10.06019902
15,1,0,1,0,0,0,1,0,0,0,1,177.65076,0,0,0,0,1,0,1,1,1,0,13.87001293
16,1,1,0,0,1,1,0,0,1,0,0,194.966286,1,1,1,0,0,0,1,1,0,0,15.78214958
17,1,0,0,1,1,0,1,0,0,0,1,202.682861,0,0,0,0,0,1,1,1,1,0,2.303331273
18,0,0,0,1,1,1,0,0,0,0,1,152.490739,0,1,1,0,0,0,1,0,1,1,17.10995632
19,1,1,0,0,0,0,1,0,1,0,0,149.944668,1,0,0,1,0,0,1,0,1,0,12.80615845
20,0,1,0,0,1,0,1,0,0,1,0,184.978458,0,1,1,0,0,0,1,1,0,0,20.45390977
21,0,0,0,1,1,0,1,0,0,1,0,127.495766,0,0,1,0,0,0,1,0,0,0,2.415991977
22,0,1,0,0,0,0,1,0,0,1,0,124.964303,0,0,0,0,1,0,1,0,0,0,6.652298992
23,0,0,1,0,0,0,1,0,0,1,0,149.948316,0,0,0,0,1,0,1,0,1,0,8.543717478
24,1,1,0,0,1,1,0,0,0,0,1,162.511928,1,0,0,1,0,0,1,1,0,0,5.770390256
25,1,1,0,0,0,0,1,0,1,0,0,92.455141,0,0,1,0,0,0,1,0,0,0,4.157658837
26,1,1,0,0,1,1,0,0,0,1,0,222.649979,0,0,0,0,0,1,1,1,1,0,10.40566091
27,1,1,0,0,1,1,0,0,0,0,1,139.981577,0,1,0,0,1,0,1,0,1,0,1.392421597
28,1,0,1,0,1,1,0,0,1,0,0,200.132293,0,0,1,0,0,0,1,1,1,1,1.430386349
29,1,0,0,1,1,0,1,0,1,0,0,257.651257,1,1,0,1,0,0,1,1,1,0,5.425864884
30,0,0,0,1,0,0,1,0,0,1,0,230.105118,0,1,0,1,0,0,0,1,1,0,11.08287797
31,0,0,0,1,0,1,0,0,0,0,1,147.489301,1,1,0,0,1,0,1,0,0,0,3.586184954
32,1,1,0,0,0,1,0,0,0,1,0,230.105118,0,1,0,0,1,0,1,1,1,0,4.727388465
33,1,1,0,0,0,0,1,0,1,0,0,174.958118,1,1,0,0,1,0,1,0,1,0,20.89923386
34,1,0,1,0,1,0,1,0,0,1,0,267.664655,1,0,0,0,0,1,1,1,1,0,3.471329958
35,1,1,0,0,0,0,1,0,1,0,0,162.483267,1,1,0,0,0,1,1,0,0,0,5.478588204
36,1,1,0,0,1,1,0,0,0,1,0,229.993134,1,1,0,1,0,0,1,1,0,0,3.312991809
37,0,0,1,0,1,1,0,0,1,0,0,140.00128,1,0,0,0,1,0,1,0,0,0,7.161561527
38,0,0,0,1,0,1,0,0,0,1,0,184.964681,0,1,0,1,0,0,1,1,0,0,9.847563364
39,0,0,0,1,1,0,1,0,0,1,0,147.473844,0,1,0,0,1,0,1,0,0,0,16.04202196
40,0,1,0,0,1,1,0,0,0,1,0,172.457857,0,1,0,0,0,1,1,0,1,0,9.179779682
41,0,1,0,0,0,0,1,0,1,0,0,107.481989,0,0,0,0,1,0,1,0,0,0,3.002844144
42,1,0,0,1,0,0,1,0,0,1,0,255.141716,1,0,0,1,0,0,1,1,1,0,3.924254455
43,0,0,0,1,0,0,1,0,0,1,0,192.456745,1,0,0,0,1,0,1,1,0,0,18.55959629
44,1,0,0,1,0,1,0,0,0,1,0,242.632554,1,0,0,1,0,0,1,1,1,0,8.798394712
45,1,1,0,0,1,1,0,0,0,0,1,245.174977,1,1,0,0,1,0,1,1,1,0,10.377366
46,1,1,0,0,0,0,1,0,0,1,0,184.964681,0,1,1,0,0,0,1,1,0,0,22.25746016
47,1,1,0,0,1,1,0,0,0,1,0,195.006206,1,1,0,1,0,0,1,0,0,1,9.427146079
