,Churn,Contract_Month-to-month,Contract_One year,Contract_Two Year,DeviceProtection,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,MonthlyCharge,Multiple,OnlineBackup,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Phone,StreamingMovies,StreamingTV,Techie,Tenure
0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,184.9853,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,58.34647
1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,147.4713,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,64.60077
2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,182.447,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.848803
3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,242.610632,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12.39088509
4,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,92.5018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,62.37954
5,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,139.981577,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,18.35541838
6,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,252.6378,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,64.1621
7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,162.4526,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,69.30597
8,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,204.9496,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,61.82628
9,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,169.9741,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.79913
