,Lat,Lng,Income,Churn,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
9394,34.14049,-90.78472,46489.09,0,10.26142,0,1,1,1,0,1,1,1,1,0,1,1,197.4876,5570.11497,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
898,30.38174,-89.37028,33543.36,0,11.08657399,1,0,0,0,1,0,0,0,0,0,0,0,144.960655,545.1832765,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2398,35.90856,-77.27624,6377.91,1,6.152569,0,0,1,1,0,0,0,1,0,1,1,1,200.1323,1432.922873,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
5906,33.01268,-83.56909,53611.13,0,10.63657,1,1,0,1,0,1,1,0,1,0,1,1,184.9647,6294.155657,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
2343,40.11166,-99.98577,31534.3,1,16.88379,0,1,1,1,1,1,0,1,0,1,1,1,222.6792,1040.201495,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
8225,39.16757,-84.49731,33298.78,0,6.721308,0,0,0,1,0,1,0,0,0,0,1,1,129.9598,6360.531849,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5506,61.14974,-149.7759,13663.98,0,12.57414,0,1,0,1,0,1,0,0,1,1,0,0,152.466,5611.443086,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
6451,41.03181,-73.58283,6096.89,0,7.744646,0,0,0,1,1,0,1,0,0,1,0,1,172.4404,6512.990012,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
2670,48.05707,-115.7696,83923.73,1,11.80835,0,0,0,1,0,1,0,0,1,1,0,1,119.9897,1516.686884,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3497,41.52994,-77.49167,32997.15,0,7.338415,0,1,0,1,0,1,1,0,0,0,0,0,104.9923,619.4159878,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1087,31.28841,-105.31974,79189.23,1,6.792026415,0,1,0,1,1,0,1,0,1,1,1,0,255.119794,1882.523799,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1819,39.08199,-80.61265,19534.42,0,7.519178592,1,1,1,1,0,1,1,1,0,0,1,1,184.978458,1234.044483,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
2308,34.49658,-84.95569,2991.27,1,9.700795,1,1,0,1,1,0,0,1,1,1,1,1,245.147,1147.794876,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
6084,30.93816,-84.59338,27376.4,0,9.480862,0,0,0,1,0,1,0,1,1,0,0,1,140.0049,5239.916322,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3724,39.64216,-104.9625,17038.61,1,12.52276,0,1,0,1,0,0,1,0,0,1,1,1,197.6288,2060.236225,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
3184,34.58979,-92.38373,25891.09,0,6.564067,1,0,1,1,1,0,0,1,1,0,1,1,204.9797,1392.159775,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
6387,26.62789,-81.94331,70043.78,0,2.104824,0,0,1,1,0,0,0,1,1,0,1,1,152.4742,6218.382624,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
3728,39.79503,-75.58815,21549.44,0,13.51296,0,1,0,1,0,0,0,0,0,0,0,1,112.4551,426.4255699,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2702,38.84808,-90.28876,22041.71,1,10.00097,0,1,1,0,0,1,0,0,0,0,1,1,149.9598,1150.114958,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
7883,40.13683,-82.01275,40225.9,0,9.984674,0,0,1,0,0,1,0,1,0,0,1,1,130.0064,5604.547333,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
2930,39.49754,-87.38961,65905.54,1,12.21062,1,1,0,1,0,1,1,1,0,0,1,1,152.5022,859.2099751,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
5988,43.9885,-96.67923,18012.16,0,6.779737,0,0,0,1,0,0,1,1,0,1,0,0,172.4579,6319.032596,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
4890,35.21684,-79.23467,83334.79,1,7.213508,0,0,1,1,1,0,1,1,1,1,0,1,197.4725,1558.694988,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
6718,40.40346,-75.89417,44529.77,0,14.18316,1,1,1,1,0,0,0,1,1,1,0,0,162.4713,4171.400793,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
5423,40.97016,-78.87619,87107.32,0,8.49259,1,1,0,1,0,0,0,1,1,1,0,1,162.4713,5419.934519,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
3213,34.88759,-114.5323,10825.44,0,10.87864,0,1,0,1,0,0,1,1,1,0,0,0,127.5067,609.1874835,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
3017,47.02466,-100.692,23086.45,0,7.483489,0,0,1,1,0,0,0,0,0,0,1,1,114.9658,1355.025651,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
382,44.64671,-92.56765,91186.03,0,10.08605721,0,0,1,1,0,1,1,1,0,1,1,0,245.145743,2188.672399,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
4237,43.97069,-100.4911,47991.88,1,6.923717,0,1,1,1,1,1,1,0,0,0,1,0,184.961,1132.634807,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
4721,27.19012,-98.20251,18513.69,0,8.783005,0,1,0,1,1,1,0,1,1,0,1,1,207.4974,1680.906796,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
9547,35.95319,-83.93348,45647.43,0,8.773331,0,1,0,0,1,0,0,1,1,0,0,1,137.5165,3406.934201,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
9477,40.1876,-91.36729,47077.88,0,10.28962,0,1,0,1,1,1,1,0,1,1,1,1,257.6375,6284.948965,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
4795,28.39793,-81.18697,50335.96,1,13.16758,1,0,0,0,0,1,0,1,1,1,1,0,215.1591,1771.091615,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
4747,39.01694,-111.8682,19746.8,0,6.549501,0,0,0,1,0,0,0,1,1,0,0,1,137.4872,451.0754045,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
9366,44.53224,-68.85946,74732.97,1,7.48647,0,1,0,1,0,1,1,1,0,1,1,1,225.1457,6078.532596,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
5334,37.3456,-94.62459,30009.55,0,7.352787,0,0,0,1,1,0,0,1,0,1,0,1,182.4676,4592.61237,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
6652,42.82853,-71.85495,7947.46,0,12.79332,0,0,1,1,0,0,0,1,0,0,0,0,104.9781,5521.423515,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
9032,42.00404,-86.12198,160216.1,0,9.550874,0,1,0,1,0,1,0,0,1,0,1,0,162.4689,5251.722647,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
580,41.70546,-70.15434,10299.94,0,6.048302665,0,1,1,1,1,1,0,0,0,0,0,1,147.478341,261.1185652,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
