,Lat,Lng,Income,Churn,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
7681,42.91404,-78.86606,23353.6,0,9.915598,0,1,0,1,1,1,0,1,0,1,0,1,184.9853,5194.643427,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
9031,36.35405,-84.71124,17438.83,0,5.597195,1,0,0,1,1,0,0,0,0,0,1,0,147.4713,5847.97974,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3691,41.42078,-89.91831,41250.17,0,10.2122,0,0,0,1,0,0,1,0,1,0,1,1,182.447,821.6574124,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
202,32.14053,-106.61285,16440.05,1,10.8621377,0,1,0,1,1,0,1,0,0,1,1,0,242.610632,2088.48083,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
5625,41.52775,-73.12304,54726.01,0,8.218342,0,1,0,1,0,0,0,1,0,0,0,1,92.5018,5394.351469,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
298,19.07026,-155.77587,76066.77,0,15.27146446,0,0,0,1,0,0,1,1,0,1,0,0,139.981577,1939.811149,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
5135,38.37808,-89.61173,43632.29,0,10.67464,0,0,0,0,1,0,0,1,0,1,1,1,252.6378,5940.543417,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
6899,37.00501,-89.52662,65414.02,0,14.15375,0,1,0,1,0,1,1,0,0,1,0,0,162.4526,6172.221046,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
7258,40.22226,-92.74501,67432.19,0,5.656324,0,1,1,1,1,0,1,0,1,1,0,1,204.9496,5408.328182,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
9516,31.67902,-88.66747,30926.53,0,9.154382,0,0,0,1,1,1,1,0,0,0,0,0,169.9741,4305.698234,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
6140,38.47636,-103.1621,38645.01,0,11.37166,0,0,0,1,1,0,0,0,0,1,0,1,149.9447,5980.037893,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
9082,37.95542,-87.35554,43073.14,0,7.045836,0,1,0,1,0,1,0,1,0,1,0,1,120.0035,5610.48353,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
7205,34.58979,-92.38373,7908.67,0,10.66732,0,0,0,1,1,0,0,0,1,0,1,1,172.4567,6335.562326,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
2819,39.97599,-105.5385,21837.62,1,12.5508,0,1,0,1,1,0,0,1,0,1,1,1,220.1615,1829.634417,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5282,41.86048,-88.47667,15449.69,0,9.112086,1,0,0,1,1,0,0,1,0,0,1,0,172.4705,5245.572739,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
4901,31.5622,-95.85025,68709.62,1,10.20829,0,1,1,0,0,1,1,0,0,1,1,1,232.6228,808.114485,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
8449,36.51767,-95.03399,23279.78,0,10.37357,0,0,0,1,1,0,1,1,1,1,1,0,287.6427,4168.120303,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
9949,42.99112,-88.77678,68457.74,0,5.233119,0,1,0,1,1,1,1,0,1,1,1,1,277.6375,5156.532721,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5466,36.24511,-96.4191,37989.78,0,6.088598,0,1,0,1,0,1,1,0,1,0,1,0,164.9647,6709.021998,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
4503,48.26408,-115.3228,70656.34,0,10.97367,0,1,0,0,1,1,1,1,0,0,0,1,182.497,708.4028154,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
210,45.77019,-92.40004,40660.84,0,11.58410296,0,0,0,0,0,0,0,0,0,1,0,0,137.439154,710.7541633,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
7658,42.22068,-91.19722,24214.43,0,9.497679,0,1,0,1,1,1,0,0,1,0,0,1,139.9875,5927.225005,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
5964,40.66531,-74.2665,22004.51,0,10.34204,0,0,1,1,0,0,1,1,1,0,1,0,194.9699,4707.7319,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
3650,44.62376,-106.0692,7401.68,1,5.864437,0,0,0,1,0,0,1,1,0,1,0,0,152.4579,1814.711402,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5624,40.08671,-123.7849,9362.64,0,12.49043,0,0,0,1,1,0,1,1,0,0,1,1,194.9663,5813.10524,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
8728,40.68527,-92.15084,13487.36,0,12.5131,0,0,1,1,0,1,1,1,1,0,1,1,177.4876,5600.149879,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4919,34.17123,-118.3238,13216.99,1,8.308668,1,0,0,1,0,1,0,1,1,1,0,0,144.9889,1166.216656,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2345,39.60729,-84.02846,10986.24,0,9.270527,0,0,0,1,1,1,1,1,1,0,0,1,195.0062,1646.32071,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
