,Lat,Lng,Income,Churn,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,56.251,-133.37571,28561.99,0,7.978322947,0,1,1,1,0,1,1,0,0,0,1,1,6.795512947,172.455519,904.5361102,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
1,44.32893,-84.2408,21704.77,1,11.69907956,1,0,1,1,1,1,0,0,0,1,1,1,1.156680997,242.632554,800.9827661,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
2,45.35589,-123.24657,9609.57,0,10.75280028,1,1,0,1,1,0,0,0,0,0,1,1,15.75414408,159.947583,2054.706961,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
3,32.96687,-117.24798,18925.23,0,14.91353964,1,0,0,1,0,1,0,0,0,1,0,1,17.08722662,119.95684,2164.579412,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
4,29.38012,-95.80673,40074.19,1,8.147416533,0,1,0,0,0,0,0,0,1,1,0,0,1.670971726,149.948316,271.4934362,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5,32.57032,-83.8904,22660.2,0,8.420992898,0,1,0,1,1,1,1,1,0,0,1,0,7.000993555,185.007692,1039.357983,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
6,36.4342,-84.27892,11467.5,1,11.18272453,1,0,0,1,0,0,0,0,1,1,1,0,13.23677381,200.118516,1907.242972,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
7,35.43313,-97.52463,26759.64,1,7.791632265,1,0,0,0,0,0,1,0,0,0,0,1,4.26425515,114.950905,979.6127078,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
8,28.27646,-81.16273,58634.51,0,5.739005915,0,1,0,1,0,1,1,0,0,0,0,1,8.220686373,117.468591,1312.874964,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
9,39.19296,-84.4523,50231.4,0,8.707823904,0,1,0,1,0,1,0,1,0,0,1,1,3.422086139,162.482694,508.7637913,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
10,41.95142,-76.10744,22580.7,0,9.341631685,0,0,0,1,1,1,1,0,0,1,0,0,19.26726194,174.958118,2728.767869,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
11,18.3041,-66.32847,18342.12,0,6.68082638,0,1,0,1,0,0,0,1,0,1,0,0,10.52199781,149.962093,1180.588788,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
12,41.37287,-91.36865,83671.08,0,8.273875452,0,1,0,1,0,0,0,0,0,1,0,0,13.01149229,137.439154,1196.388018,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
13,44.43256,-70.11501,115114.57,0,5.880565591,0,1,1,1,1,1,0,0,1,1,0,1,16.87922024,184.971516,1948.694497,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
14,41.86752,-87.90222,64256.81,1,11.79073041,0,0,0,0,1,0,1,0,1,0,0,1,10.06019902,159.965581,1582.295235,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
15,45.92342,-89.50138,89061.45,1,10.79846973,0,0,0,1,0,1,0,0,0,1,1,1,13.87001293,177.65076,1840.014467,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
16,37.62326,-120.99637,31659.3,1,13.52284721,0,1,0,1,1,0,1,1,0,0,1,1,15.78214958,194.966286,2070.376729,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
17,34.90636,-78.98944,44142.81,1,9.831166695,0,0,0,1,0,1,0,1,1,1,1,0,2.303331273,202.682861,882.0985933,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
18,35.2091,-89.50332,39262.14,0,9.57470568,1,1,0,1,0,0,1,1,1,1,0,1,17.10995632,152.490739,1833.0967,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
19,33.84469,-86.6974,19494.75,1,10.92246098,0,1,0,1,1,0,0,0,0,1,0,1,12.80615845,149.944668,1954.080809,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
20,41.83594,-88.5206,39624.21,0,12.06889188,0,0,0,1,0,1,1,1,0,0,1,1,20.45390977,184.978458,2330.319383,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
21,39.96636,-83.01286,45714.47,0,6.984819996,0,0,1,1,0,1,0,1,0,0,0,0,2.415991977,127.495766,594.1054279,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
22,42.96153,-94.64179,27442.03,0,9.372975594,0,0,0,1,0,0,0,0,1,0,0,1,6.652298992,124.964303,713.0633088,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
23,45.10333,-67.47223,79699.62,0,7.109002592,0,1,0,1,0,0,0,0,1,1,0,1,8.543717478,149.948316,945.3802928,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
24,39.08339,-84.02314,28520.32,1,13.74777955,0,0,1,1,1,1,0,1,0,0,1,0,5.770390256,162.511928,870.76398,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
25,29.75675,-81.30311,12558.83,1,9.767668044,0,0,1,1,0,0,0,0,0,0,0,0,4.157658837,92.455141,774.2937069,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
26,36.00209,-108.62285,8762.23,1,15.8626095,0,1,0,1,0,1,0,1,0,1,1,0,10.40566091,222.649979,1506.446527,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
27,41.7812,-83.48594,43882.72,1,14.73616645,0,1,0,1,0,0,1,1,0,1,0,1,1.392421597,139.981577,419.0508708,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
28,44.24718,-72.74137,10482.52,1,13.43558029,1,0,0,1,0,0,0,1,0,1,1,0,1.430386349,200.132293,1259.415493,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
29,39.04373,-77.04224,33442.79,1,10.61771118,0,0,1,1,1,1,1,1,0,1,1,1,5.425864884,257.651257,1745.125956,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
30,43.11988,-75.32875,43383.54,0,6.613070806,0,1,0,0,0,0,1,0,0,1,1,1,11.08287797,230.105118,1795.465729,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
31,41.30608,-84.56989,21793.88,0,4.450171647,0,0,1,1,1,0,1,0,1,0,0,0,3.586184954,147.489301,492.4771472,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
32,46.5512,-123.32437,51960.51,1,8.774646693,0,1,1,1,0,0,1,0,0,1,1,1,4.727388465,230.105118,1013.993166,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
33,46.43517,-86.01334,25942.1,1,11.13156721,0,0,0,1,1,1,1,0,0,1,0,0,20.89923386,174.958118,2680.762173,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
34,40.73772,-88.28785,11211.59,1,5.540788887,0,1,0,1,1,1,0,1,1,1,1,0,3.471329958,267.664655,1081.814362,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
35,42.28109,-84.75184,8283.29,1,13.80362698,0,1,0,1,1,1,1,0,1,0,0,1,5.478588204,162.483267,1209.961168,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
