,Tenure
9394,63.28819
898,4.709035899
2398,5.494536
5906,68.88054
2343,1.835282
8225,66.12623
5506,64.45957
6451,70.71967
2670,15.06815
3497,4.565947
1087,11.24061076
1819,10.27742832
2308,2.130946
6084,62.83437
3724,16.22394
3184,13.51008
6387,64.47686
3728,4.078283
2702,9.436909
7883,63.58391
2930,5.656086
5988,71.66334
4890,6.495239
6718,48.84202
5423,61.50313
3213,4.870047
3017,14.26274
382,16.8000196
4237,4.098818
4721,15.75222
9547,37.50261
9477,61.54459
4795,7.041709
4747,4.115815
9366,59.13489
5334,52.42146
6652,59.29365
9032,61.97321
580,1.084656113
9491,42.74753
6526,45.30473
4346,19.78766
4974,11.54316
7913,51.39351
5611,49.7446
8480,52.26662
6625,63.41268
5615,60.5779
5602,60.40651
4857,5.111844
6734,66.43277
8451,61.13096
6332,69.27984
6798,54.47785
5313,54.53026
2821,7.837878
9300,69.00321
2375,2.590677
1478,12.42216588
5013,66.89524
1559,8.249941923
8885,54.28949
3986,3.250618
4429,5.147213
3951,8.770703
2932,22.38582
6419,61.9981
713,5.759571228
8089,68.22138
6058,65.18605
8711,50.69797
4185,7.27652
4379,6.574699
7813,71.78213
843,5.130341596
655,7.243986575
7219,66.84316
982,1.796688583
7439,53.13301
8894,39.23505
598,14.57312339
5350,61.18595
4221,3.542704
1422,2.354138635
3646,7.571234
4387,21.50913
2606,8.867664
4228,19.39623
1096,16.99923183
8940,60.42253
5814,61.33886
3706,5.88788
2846,8.0239
467,2.760467902
8314,60.70855
4595,6.905799
3725,13.05964
6450,48.38433
6846,57.72932
3891,8.752114
7407,57.43857
5892,56.03048
5301,45.03776
4808,6.386027
8148,69.60418
3931,13.10595
9672,43.96321
1312,1.355493769
1942,8.721771003
841,17.71637154
5792,68.01745
3683,20.34377
8876,59.47229
5660,61.18403
4447,1.193519
3066,10.02202
8135,71.12548
5957,70.28188
4678,5.429608
2869,5.129029
2535,3.680185
5482,67.31834
4302,12.69881
5608,39.61469
7527,70.36179
1534,11.48699577
8110,68.55021
6699,64.67686
4696,4.46492
2580,1.794202
7178,57.62165
4644,7.502506
4858,10.02376
5946,57.94445
9822,53.90038
4673,3.878332
3341,4.672744
1376,5.427546075
9320,68.02518
6275,68.59602
1308,3.551651444
7569,70.63238
7358,37.33507
2252,15.13792
9892,66.82584
8830,65.66957
