,Churn
2703,0
1910,0
445,0
7990,1
8757,1
9682,1
2761,0
2012,0
7650,1
5687,0
7150,1
444,0
3299,0
7254,1
4774,0
2159,0
585,1
3581,0
2481,1
1045,0
5891,0
5513,1
4500,0
7727,1
7689,1
7819,1
4644,0
6931,0
51,1
5694,1
1696,0
10047,1
1683,0
980,0
1790,0
5628,0
2472,0
4413,1
7023,1
8943,1
7519,1
5865,0
1742,0
4874,0
1182,0
3855,0
1333,1
3447,1
9496,1
5268,0
10221,1
8790,1
2931,0
6794,0
9240,1
2796,0
8899,1
2516,0
6994,0
1122,0
2037,0
6205,0
2600,1
4115,0
593,0
5654,0
8078,1
54,1
6332,0
3594,0
8872,1
9894,1
3590,0
10001,1
479,0
533,0
9998,1
3284,1
5840,0
803,1
5148,0
8386,1
9491,1
7330,1
6466,1
6974,0
2572,0
8159,1
8093,1
3779,0
2328,0
4800,0
1314,0
861,1
6892,0
539,1
1972,0
7370,1
10178,1
2733,0
9069,1
2488,1
8751,1
10025,1
8740,1
1926,1
3844,0
3725,1
7436,1
2865,0
4674,0
1484,0
2223,1
6916,1
4601,0
7525,1
9961,1
6190,0
4283,0
7035,1
1140,0
6275,0
3583,0
963,0
5832,1
1147,0
7805,1
5417,1
5844,0
3523,1
4798,0
2919,0
6433,0
6851,0
8491,1
7271,1
5377,0
3701,0
8910,1
7662,1
2212,0
3964,1
4018,1
7465,1
5793,0
7302,1
6461,1
2165,0
687,1
6340,0
1888,0
3027,0
7201,1
8396,1
5189,0
8538,1
3055,0
2306,0
4512,0
785,0
7991,1
8792,1
8336,1
5868,0
1142,1
5964,0
7516,1
10051,1
7139,1
4917,0
5659,1
783,0
6365,0
4492,0
7890,1
1737,1
409,1
930,0
8074,1
9445,1
874,1
8055,1
949,0
9130,1
5757,0
2065,0
7225,1
4446,0
7272,1
7360,1
7904,1
6510,0
5731,0
8258,1
4964,1
1442,0
5292,1
83,0
311,0
8884,1
4872,0
65,1
9222,1
8330,1
8213,1
5705,0
1914,0
6106,0
8903,1
1526,1
2793,0
7790,1
3535,0
8370,1
6444,1
8631,1
1700,1
1299,0
8558,1
9145,1
10007,1
4086,0
8270,1
5057,0
2260,1
9511,1
4869,0
4310,0
2351,0
7437,1
6736,0
4418,0
6416,0
9670,1
7159,1
3326,0
9611,1
8853,1
5758,0
2262,0
3806,0
5615,0
5438,0
5387,0
6737,0
2224,0
536,0
3959,0
1114,0
4891,0
10125,1
2804,0
347,0
4301,1
4623,1
8481,1
1433,1
1855,0
7241,1
29,0
5526,0
3814,0
5656,0
3059,0
2636,0
9242,1
3332,1
3519,0
5124,1
3373,1
7054,1
3865,0
3635,1
263,0
4191,0
8244,1
6955,0
2131,1
2285,1
5639,0
7736,1
5109,0
5221,1
7851,1
2524,0
3580,0
6270,0
8432,1
1217,0
4568,0
4907,0
6867,1
3655,1
9587,1
5506,0
7118,1
7747,1
8133,1
577,0
202,0
4678,1
298,0
7475,1
8155,1
8590,1
7701,1
5564,0
9424,1
6627,0
7645,1
2819,1
5611,1
9328,1
9699,1
8921,1
8707,1
9219,1
6803,0
9447,1
210,1
8130,1
8355,1
6158,0
3733,0
8205,1
6857,0
4668,0
2345,0
9031,1
8618,1
1153,0
3497,0
6671,1
7911,1
7113,1
1800,0
6,0
10261,1
1143,0
4069,0
4579,1
3514,0
3063,0
2943,1
3933,0
9095,1
3148,0
9223,1
7510,1
1161,0
137,1
5303,1
7815,1
863,0
8175,1
4216,1
1543,1
3679,0
3991,1
4695,0
3054,1
6061,0
9705,1
1424,0
6357,0
8238,1
9385,1
4753,0
1411,0
1438,0
6624,0
1413,0
9812,1
5256,0
6643,0
5759,1
9188,1
1547,0
7205,1
8762,1
6836,0
308,0
2108,0
2228,0
8675,1
67,0
1290,0
1605,1
6473,1
8642,1
4725,0
8925,1
1081,0
9527,1
4513,0
214,1
3277,1
8767,1
4160,0
70,0
8961,1
891,0
1398,0
7102,1
3900,0
10174,1
1197,0
953,1
7502,1
8332,1
1722,0
