,Tenure
7681,58.34647
9031,64.60077
3691,5.848803
202,12.39088509
5625,62.37954
298,18.35541838
5135,64.1621
6899,69.30597
7258,61.82628
9516,47.79913
6140,64.37976
9082,61.27781
7205,70.96989
2819,12.67943
5282,51.57289
4901,2.696846
8449,41.67396
9949,52.62668
5466,68.90613
4503,5.141927
210,4.525864256
7658,64.1725
5964,52.70133
3650,12.38916
5624,58.97505
8728,55.74501
4919,4.64085
2345,14.95975
4162,11.25684
1153,7.077999389
3874,11.09994
3214,9.688639
8306,66.29517
8508,60.1745
1800,8.154668093
6,13.23677381
1143,3.072369855
3420,7.151009
5207,59.01526
9238,66.46538
2943,10.91353
8219,68.6654
3474,6.460792
6317,65.08131
7077,61.04909
1161,14.41890198
137,7.251397592
4991,13.02184
3343,8.997315
863,5.240131023
9740,67.71773
3844,2.93932
1543,1.992846597
8751,62.71718
6906,38.56823
9165,66.57985
3054,3.678847
4824,11.99482
7344,43.8884
1424,16.96762986
5987,57.16208
9594,63.3179
5120,64.37387
4467,2.426747
1411,9.821119931
1438,7.989151046
5111,53.40027
1413,4.452382314
3318,2.138986
4630,6.974284
4726,12.2982
6174,56.37649
8917,42.07751
1547,1.934171569
6788,66.92587
8503,55.02676
4770,7.660409
308,4.355064781
2108,6.765777
2228,9.526371
9727,54.21707
67,10.79028074
1290,6.958063425
1605,13.77689046
6114,67.99357
6896,70.08722
8891,58.89646
8663,65.351
1081,10.19437082
8516,63.8887
214,15.85002222
3921,4.655119
3662,7.863565
70,23.92132231
8698,70.22382
891,9.923586914
1398,17.12047934
7420,71.25511
3726,20.87922
9880,44.57688
1197,19.25835701
953,1.457335487
5682,60.23114
7993,71.805
1722,2.699998442
2894,8.387102
2339,3.199682
8880,71.96235
5635,65.29309
8081,68.34459
9072,71.89152
9916,65.07643
3919,7.816759
2139,3.362461
6617,63.12959
2913,2.457741
9297,64.40902
238,12.84490034
7840,40.73055
3714,19.2087
613,2.62036784
2515,14.04801
8869,55.64344
4588,14.41788
5475,70.65651
2615,1.275948
7003,58.33853
3485,11.31749
8138,71.48941
5543,45.18454
6017,63.5434
1247,17.63783701
8105,55.24136
2716,16.21818
7647,41.74273
2851,11.40421
5658,60.76709
2126,8.275832
5463,67.82145
2511,10.52249
5365,45.92294
9660,64.17582
456,10.5903229
7919,58.42342
7442,71.14876
2071,5.26792
5344,65.49474
8147,43.51853
527,2.084396413
6892,64.88325
7868,36.88134
8399,62.23314
8554,62.84343
1955,23.11577242
9056,55.7768
9749,71.58111
9355,62.09703
2172,3.523461
2368,10.85537
6860,51.77963
6722,62.60334
5107,42.36505
7922,43.18866
7907,56.09767
828,7.48578642
6676,68.19429
2310,12.77209
9402,61.59036
9141,66.80646
6942,52.27007
4907,20.52701
6083,40.77723
9188,48.82939
1090,5.824620949
2755,8.612474
3849,12.674
7898,67.2599
8485,66.10035
8725,54.07581
1322,2.849622074
9493,55.74944
2429,20.5514
5634,66.7449
8617,57.3396
9169,71.86603
1089,6.681362911
8047,66.49538
4929,9.448515
6319,66.65664
5003,44.72802
6689,62.78784
1119,1.214622014
3164,15.12639
5178,65.82541
4008,21.51433
3583,16.03441
6475,66.60339
1303,25.88644227
