county_id,state,county_name,county_state,broadband_avail,broadband_use
1001,AL,Autauga,Autauga_AL,0.8057,0.391
1003,AL,Baldwin,Baldwin_AL,0.8362,0.452
1005,AL,Barbour,Barbour_AL,0.6891,0.324
1007,AL,Bibb,Bibb_AL,0.3368,0.136
1009,AL,Blount,Blount_AL,0.758,0.199
1011,AL,Bullock,Bullock_AL,0.9363,0.157
1013,AL,Butler,Butler_AL,0.6814,0.183
1015,AL,Calhoun,Calhoun_AL,0.9298,0.419
1017,AL,Chambers,Chambers_AL,0.8453,0.501
1019,AL,Cherokee,Cherokee_AL,0.9892,0.125
1021,AL,Chilton,Chilton_AL,0.6345,0.104
1023,AL,Choctaw,Choctaw_AL,0.2147,0.035
1025,AL,Clarke,Clarke_AL,0.5585,0.092
1027,AL,Clay,Clay_AL,0.4291,0.081
1029,AL,Cleburne,Cleburne_AL,0.1731,0.1
1031,AL,Coffee,Coffee_AL,0.913,0.531
1033,AL,Colbert,Colbert_AL,0.8405,0.39
1035,AL,Conecuh,Conecuh_AL,0.4422,0.067
1037,AL,Coosa,Coosa_AL,0.7828,0.095
1039,AL,Covington,Covington_AL,0.8336,0.366
1041,AL,Crenshaw,Crenshaw_AL,0.729,0.196
1043,AL,Cullman,Cullman_AL,0.7835,0.364
1045,AL,Dale,Dale_AL,0.9479,0.351
1047,AL,Dallas,Dallas_AL,0.7637,0.249
1049,AL,DeKalb,DeKalb_AL,0.9883,0.402
1051,AL,Elmore,Elmore_AL,0.9268,0.509
1053,AL,Escambia,Escambia_AL,0.7474,0.243
1055,AL,Etowah,Etowah_AL,0.9514,0.404
1057,AL,Fayette,Fayette_AL,0.1989,0.077
1059,AL,Franklin,Franklin_AL,0.6604,0.111
1061,AL,Geneva,Geneva_AL,0.5956,0.176
1063,AL,Greene,Greene_AL,0.0085,0.013
1065,AL,Hale,Hale_AL,0.5144,0.095
1067,AL,Henry,Henry_AL,0.6405,0.107
1069,AL,Houston,Houston_AL,0.8734,0.54
1071,AL,Jackson,Jackson_AL,0.9643,0.419
1073,AL,Jefferson,Jefferson_AL,0.9906,0.532
1075,AL,Lamar,Lamar_AL,0.4309,0.095
1077,AL,Lauderdale,Lauderdale_AL,0.8173,0.36
1079,AL,Lawrence,Lawrence_AL,0.5525,0.09
1081,AL,Lee,Lee_AL,0.9631,0.59
1083,AL,Limestone,Limestone_AL,0.9079,0.555
1085,AL,Lowndes,Lowndes_AL,0.1441,0.063
1087,AL,Macon,Macon_AL,0.6502,0.114
1089,AL,Madison,Madison_AL,0.9644,0.747
1091,AL,Marengo,Marengo_AL,0.1696,0.08
1093,AL,Marion,Marion_AL,0.8241,0.315
1095,AL,Marshall,Marshall_AL,0.9598,0.561
1097,AL,Mobile,Mobile_AL,0.935,0.506
1099,AL,Monroe,Monroe_AL,0.8964,0.243
1101,AL,Montgomery,Montgomery_AL,0.9749,0.637
1103,AL,Morgan,Morgan_AL,0.9167,0.589
1105,AL,Perry,Perry_AL,0.0012,0.032
1107,AL,Pickens,Pickens_AL,0.5724,0.11
1109,AL,Pike,Pike_AL,0.9254,0.354
1111,AL,Randolph,Randolph_AL,0.6422,0.161
1113,AL,Russell,Russell_AL,0.8929,0.402
1115,AL,St. Clair,St. Clair_AL,0.8901,0.361
1117,AL,Shelby,Shelby_AL,0.9546,0.589
1119,AL,Sumter,Sumter_AL,0.4666,0.13
1121,AL,Talladega,Talladega_AL,0.8121,0.361
1123,AL,Tallapoosa,Tallapoosa_AL,0.9169,0.736
1125,AL,Tuscaloosa,Tuscaloosa_AL,0.9228,0.487
1127,AL,Walker,Walker_AL,0.7725,0.306
1129,AL,Washington,Washington_AL,0.3114,0.045
1131,AL,Wilcox,Wilcox_AL,0.4144,0.098
1133,AL,Winston,Winston_AL,0.6272,0.15
2013,AK,Aleutians East,Aleutians East_AK,,0.066
2016,AK,Aleutians West,Aleutians West_AK,,0.023
2020,AK,Anchorage,Anchorage_AK,0.9969,0.753
2050,AK,Bethel,Bethel_AK,,0.05
2060,AK,Bristol Bay,Bristol Bay_AK,,0.054
2068,AK,Denali,Denali_AK,0.5536,0.133
2070,AK,Dillingham,Dillingham_AK,,0.052
2090,AK,Fairbanks North Star,Fairbanks North Star_AK,0.896,0.507
2100,AK,Haines,Haines_AK,0.9186,0.089
2105,AK,Hoonah-Angoon,Hoonah-Angoon_AK,0.25,0.203
2110,AK,Juneau,Juneau_AK,0.9927,0.571
2122,AK,Kenai Peninsula,Kenai Peninsula_AK,0.975,0.365
2130,AK,Ketchikan Gateway,Ketchikan Gateway_AK,0.9894,0.867
2150,AK,Kodiak Island,Kodiak Island_AK,0.8591,0.389
2158,AK,Kusilvak,Kusilvak_AK,,0.088
2164,AK,Lake and Peninsula,Lake and Peninsula_AK,,0.161
2170,AK,Matanuska-Susitna,Matanuska-Susitna_AK,0.9389,0.481
2180,AK,Nome,Nome_AK,0.3515,0.038
2185,AK,North Slope,North Slope_AK,0.0061,0.051
2188,AK,Northwest Arctic,Northwest Arctic_AK,0.0081,0.039
2195,AK,Petersburg,Petersburg_AK,0.7971,0.716
2198,AK,Prince of Wales-Hyder,Prince of Wales-Hyder_AK,0.0282,0.04
2220,AK,Sitka,Sitka_AK,0.9772,0.681
2230,AK,Skagway,Skagway_AK,0.967,0.22
2240,AK,Southeast Fairbanks,Southeast Fairbanks_AK,0.5191,0.213
2261,AK,Valdez-Cordova,Valdez-Cordova_AK,0.8438,0.432
2275,AK,Wrangell,Wrangell_AK,0.8961,0.448
2282,AK,Yakutat,Yakutat_AK,,0.024
2290,AK,Yukon-Koyukuk,Yukon-Koyukuk_AK,0.013,0.139
