county_id,state,county_name,broadband_avail,broadband_use
28163,MS,Yazoo,0.7287,0.15
49029,UT,Morgan,0.8689,0.325
47093,TN,Knox,0.983,0.631
18049,IN,Fulton,1,0.369
26115,MI,Monroe,0.9592,0.612
40055,OK,Greer,0.5061,0.136
48143,TX,Erath,1,0.306
48097,TX,Cooke,0.992,0.64
23013,ME,Knox,0.9839,0.468
36001,NY,Albany,0.9975,0.696
48139,TX,Ellis,0.996,0.618
1001,AL,Autauga,0.8057,0.391
1003,AL,Baldwin,0.8362,0.452
1005,AL,Barbour,0.6891,0.324
1007,AL,Bibb,0.3368,0.136
1009,AL,Blount,0.758,0.199
1011,AL,Bullock,0.9363,0.157
1013,AL,Butler,0.6814,0.183
1015,AL,Calhoun,0.9298,0.419
1017,AL,Chambers,0.8453,0.501
1019,AL,Cherokee,0.9892,0.125
1021,AL,Chilton,0.6345,0.104
1023,AL,Choctaw,0.2147,0.035
1025,AL,Clarke,0.5585,0.092
1027,AL,Clay,0.4291,0.081
1029,AL,Cleburne,0.1731,0.1
1031,AL,Coffee,0.913,0.531
1033,AL,Colbert,0.8405,0.39
1035,AL,Conecuh,0.4422,0.067
1037,AL,Coosa,0.7828,0.095
1039,AL,Covington,0.8336,0.366
1041,AL,Crenshaw,0.729,0.196
1043,AL,Cullman,0.7835,0.364
1045,AL,Dale,0.9479,0.351
1047,AL,Dallas,0.7637,0.249
1049,AL,DeKalb,0.9883,0.402
1051,AL,Elmore,0.9268,0.509
1053,AL,Escambia,0.7474,0.243
1055,AL,Etowah,0.9514,0.404
1057,AL,Fayette,0.1989,0.077
1059,AL,Franklin,0.6604,0.111
1061,AL,Geneva,0.5956,0.176
1063,AL,Greene,0.0085,0.013
1065,AL,Hale,0.5144,0.095
1067,AL,Henry,0.6405,0.107
1069,AL,Houston,0.8734,0.54
1071,AL,Jackson,0.9643,0.419
1073,AL,Jefferson,0.9906,0.532
1075,AL,Lamar,0.4309,0.095
1077,AL,Lauderdale,0.8173,0.36
1079,AL,Lawrence,0.5525,0.09
1081,AL,Lee,0.9631,0.59
1083,AL,Limestone,0.9079,0.555
1085,AL,Lowndes,0.1441,0.063
1087,AL,Macon,0.6502,0.114
1089,AL,Madison,0.9644,0.747
1091,AL,Marengo,0.1696,0.08
1093,AL,Marion,0.8241,0.315
1095,AL,Marshall,0.9598,0.561
1097,AL,Mobile,0.935,0.506
1099,AL,Monroe,0.8964,0.243
1101,AL,Montgomery,0.9749,0.637
1103,AL,Morgan,0.9167,0.589
1105,AL,Perry,0.0012,0.032
1107,AL,Pickens,0.5724,0.11
1109,AL,Pike,0.9254,0.354
1111,AL,Randolph,0.6422,0.161
1113,AL,Russell,0.8929,0.402
1115,AL,St. Clair,0.8901,0.361
1117,AL,Shelby,0.9546,0.589
1119,AL,Sumter,0.4666,0.13
1121,AL,Talladega,0.8121,0.361
1123,AL,Tallapoosa,0.9169,0.736
1125,AL,Tuscaloosa,0.9228,0.487
1127,AL,Walker,0.7725,0.306
1129,AL,Washington,0.3114,0.045
1131,AL,Wilcox,0.4144,0.098
1133,AL,Winston,0.6272,0.15
2013,AK,Aleutians East,,0.066
2016,AK,Aleutians West,,0.023
2020,AK,Anchorage,0.9969,0.753
2050,AK,Bethel,,0.05
2060,AK,Bristol Bay,,0.054
2068,AK,Denali,0.5536,0.133
2070,AK,Dillingham,,0.052
2090,AK,Fairbanks North Star,0.896,0.507
2100,AK,Haines,0.9186,0.089
2105,AK,Hoonah-Angoon,0.25,0.203
2110,AK,Juneau,0.9927,0.571
2122,AK,Kenai Peninsula,0.975,0.365
2130,AK,Ketchikan Gateway,0.9894,0.867
2150,AK,Kodiak Island,0.8591,0.389
2164,AK,Lake and Peninsula,,0.161
2170,AK,Matanuska-Susitna,0.9389,0.481
2180,AK,Nome,0.3515,0.038
2185,AK,North Slope,0.0061,0.051
2188,AK,Northwest Arctic,0.0081,0.039
2195,AK,Petersburg,0.7971,0.716
2198,AK,Prince of Wales-Hyder,0.0282,0.04
2220,AK,Sitka,0.9772,0.681
2230,AK,Skagway,0.967,0.22
2240,AK,Southeast Fairbanks,0.5191,0.213
2261,AK,Valdez-Cordova,0.8438,0.432
2158,AK,Kusilvak,,0.088
2275,AK,Wrangell,0.8961,0.448
2282,AK,Yakutat,,0.024
2290,AK,Yukon-Koyukuk,0.013,0.139
4001,AZ,Apache,0.2304,0.074
4003,AZ,Cochise,0.7636,0.565
4005,AZ,Coconino,0.6975,0.407
4007,AZ,Gila,0.7391,0.463
4009,AZ,Graham,0.7606,0.535
4011,AZ,Greenlee,0.5281,0.253
4012,AZ,La Paz,0.4485,0.344
4013,AZ,Maricopa,0.9933,0.774
4015,AZ,Mohave,0.761,0.636
4017,AZ,Navajo,0.5934,0.381
4019,AZ,Pima,0.9857,0.626
4021,AZ,Pinal,0.9418,0.435
4023,AZ,Santa Cruz,0.9713,0.231
4025,AZ,Yavapai,0.9278,0.546
4027,AZ,Yuma,0.8967,0.605
5001,AR,Arkansas,0.2579,0.15
5003,AR,Ashley,0.5229,0.088
5005,AR,Baxter,0.7732,0.549
5007,AR,Benton,0.9664,0.589
5009,AR,Boone,0.9064,0.441
5011,AR,Bradley,0.6446,0.101
5013,AR,Calhoun,0.0852,0.202
5015,AR,Carroll,0.9757,0.268
5017,AR,Chicot,0.7473,0.024
5019,AR,Clark,0.8211,0.307
5021,AR,Clay,0.5947,0.164
5023,AR,Cleburne,0.5629,0.244
5025,AR,Cleveland,0.8391,0.015
5027,AR,Columbia,0.6132,0.238
5029,AR,Conway,0.4728,0.127
5031,AR,Craighead,0.8323,0.66
5033,AR,Crawford,0.8727,0.394
5035,AR,Crittenden,0.7987,0.411
5037,AR,Cross,0.5909,0.173
5039,AR,Dallas,0.574,0.059
5041,AR,Desha,0.704,0.187
5043,AR,Drew,0.7014,0.208
5045,AR,Faulkner,0.9507,0.375
5047,AR,Franklin,0.2485,0.069
5049,AR,Fulton,0.4479,0.161
5051,AR,Garland,0.9697,0.434
5053,AR,Grant,0.6828,0.246
5055,AR,Greene,0.7666,0.503
5057,AR,Hempstead,0.6645,0.216
5059,AR,Hot Spring,0.5942,0.32
5061,AR,Howard,0.2263,0.068
5063,AR,Independence,0.7302,0.511
5065,AR,Izard,0.6047,0.265
5067,AR,Jackson,0.684,0.327
5069,AR,Jefferson,0.6604,0.192
5071,AR,Johnson,0.6213,0.145
5073,AR,Lafayette,0.1662,0.021
5075,AR,Lawrence,0.5794,0.133
5077,AR,Lee,0.3209,0.061
5079,AR,Lincoln,0.3037,0.026
5081,AR,Little River,0.5075,0.087
5083,AR,Logan,0.3562,0.058
5085,AR,Lonoke,0.8615,0.462
5087,AR,Madison,0.4542,0.159
5089,AR,Marion,0.6079,0.213
5091,AR,Miller,0.9345,0.348
5093,AR,Mississippi,0.9265,0.242
5095,AR,Monroe,0.0557,0.058
5097,AR,Montgomery,0.5286,0.093
5099,AR,Nevada,0.4291,0.036
5101,AR,Newton,0.1523,0.083
5103,AR,Ouachita,0.6313,0.217
5105,AR,Perry,0.7692,0.316
5107,AR,Phillips,0.7458,0.188
5109,AR,Pike,0.5312,0.11
5111,AR,Poinsett,0.7911,0.168
5113,AR,Polk,0.6295,0.125
5115,AR,Pope,0.7953,0.484
5117,AR,Prairie,0.1371,0.057
5119,AR,Pulaski,0.9833,0.55
5121,AR,Randolph,0.5715,0.141
5123,AR,St. Francis,0.3788,0.11
5125,AR,Saline,0.916,0.409
5127,AR,Scott,0.3729,0.041
5129,AR,Searcy,0.5523,0.076
5131,AR,Sebastian,0.9589,0.517
5133,AR,Sevier,0.7977,0.084
5135,AR,Sharp,0.4534,0.214
5137,AR,Stone,0.415,0.11
5139,AR,Union,0.68,0.358
5141,AR,Van Buren,0.4466,0.079
5143,AR,Washington,0.9637,0.559
5145,AR,White,0.7168,0.238
5147,AR,Woodruff,0.2733,0.033
5149,AR,Yell,0.8641,0.302
6001,CA,Alameda,0.9993,0.731
6003,CA,Alpine,0.1825,0.077
6005,CA,Amador,0.9759,0.352
6007,CA,Butte,0.9865,0.636
6009,CA,Calaveras,0.9634,0.442
6011,CA,Colusa,0.8357,0.119
6013,CA,Contra Costa,0.9924,0.773
6015,CA,Del Norte,0.9359,0.799
6017,CA,El Dorado,0.9834,0.549
6019,CA,Fresno,0.9964,0.522
6021,CA,Glenn,0.9681,0.165
6023,CA,Humboldt,0.9473,0.563
6025,CA,Imperial,0.8569,0.644
6027,CA,Inyo,0.8984,0.435
6029,CA,Kern,0.9618,0.537
6031,CA,Kings,0.9986,0.455
6033,CA,Lake,0.934,0.351
