,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,793,241,482,212,171,116,311,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,58,184,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,45,265,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,93,4352,147,262,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3510,1582,3511,406,65,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,56,1733,1679,112,94,870,1217,0,0,0,0,0,0,0,0,0,0,0,0,0
6,53,18,3201,978,138,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,33,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,288,449,1711,78,264,357,0,0,0,0,0,0,0,0,0,0,0,0,0
9,872,1634,3285,5,8,7,332,541,5,861,62,0,0,0,0,0,0,0,0,0
10,792,1205,1812,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,216,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1276,3060,4,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,106,17,17,479,2450,2451,455,1435,25,290,1436,4,0,0,0,0,0,0,0,0
15,92,23,150,1326,643,132,724,342,48,415,0,0,0,0,0,0,0,0,0,0
16,276,7,10,529,423,21,66,50,9,17,241,242,127,0,0,0,0,0,0,0
17,831,989,4,321,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1124,127,81,80,198,78,0,0,0,0,0,0,0,0,0,0,0,0,0
19,55,878,20,15,18,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3679,348,400,211,3680,78,1165,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1528,2810,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2694,2695,2696,1078,1502,2697,9,548,32,7,2698,457,2699,130,1312,1506,0,0,0,0
23,3186,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,112,9,149,650,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,562,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,19,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1761,46,107,22,48,202,196,432,1761,3889,1680,0,0,0,0,0,0,0,0,0
