,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1103,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,353,1486,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,652,25,21,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,292,611,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,283,3,841,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,77,1392,22,26,184,323,653,0,0,0,0,0,0,0,0,0,0,0,0
6,143,3008,53,143,183,43,143,255,1570,1341,3,25,239,127,1063,420,968,126,0,0
7,145,387,701,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3098,3099,79,654,3100,732,3101,460,1099,463,119,3102,3103,0,0,0,0,0,0,0
9,454,1846,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,296,123,18,186,3446,3447,3448,654,0,0,0,0,0,0,0,0,0,0,0,0
11,448,1972,87,13,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1793,13,49,41,15,235,10,210,1206,15,208,118,0,0,0,0,0,0,0,0
13,15,101,3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,374,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,46,26,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1324,11,2053,294,948,2054,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,57,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,221,123,366,4411,1187,4412,416,41,401,917,0,0,0,0,0,0,0,0,0,0
22,424,963,760,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,224,123,112,9,692,157,3438,3439,31,39,994,0,0,0,0,0,0,0,0,0
24,67,4037,61,87,235,137,87,0,0,0,0,0,0,0,0,0,0,0,0,0
25,74,52,398,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,29,581,493,2901,2902,2903,56,1025,274,59,295,3,424,418,2904,848,555,1551,2905,2906
27,7,4,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,50,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,14,397,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,134,698,166,1665,1666,211,20,68,148,31,45,148,5,0,0,0,0,0,0,0
31,167,18,441,1148,1,3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1601,369,2,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,14,1202,40,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,24,35,56,104,35,58,3234,6,24,31,3235,20,1120,18,0,0,0,0,0,0
35,64,113,136,650,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,54,9,12,29,439,369,1209,0,0,0,0,0,0,0,0,0,0,0,0,0
37,22,128,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,307,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,146,507,359,574,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,144,328,3577,89,41,3578,55,0,0,0,0,0,0,0,0,0,0,0,0
41,262,186,14,416,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,64,17,987,962,2772,306,468,176,0,0,0,0,0,0,0,0,0,0,0,0
43,461,1891,1,1892,132,1893,1894,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,103,224,614,776,52,499,619,1511,185,1529,2811,27,1,0,0,0,0,0,0
45,190,563,272,583,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,274,483,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,56,50,14,3987,126,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,54,9,26,30,70,76,64,150,82,156,1179,0,0,0,0,0,0,0,0,0
49,10,374,6,99,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1541,2869,1542,386,4,175,846,6,263,4,11,20,358,1029,2870,1092,752,965,2871,0
51,902,553,3871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
