,0
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,1
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,1
414,1
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,0
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,1
496,0
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,0
539,1
540,0
541,0
542,0
543,0
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,0
573,0
574,0
575,1
576,0
577,1
578,0
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,0
