,0
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,1
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,0
497,0
498,1
499,0
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,0
523,1
524,1
525,1
526,1
527,0
528,0
529,1
530,1
531,1
532,0
