,0
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,0
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,1
564,1
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,1
574,0
575,1
576,0
577,0
578,0
579,1
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,1
598,0
599,1
