,column_name,percent_missing
OrigIndex,OrigIndex,0.0
CaseOrder,CaseOrder,0.0
Customer_id,Customer_id,0.0
Interaction,Interaction,0.0
City,City,0.0
State,State,0.0
County,County,0.0
Zip,Zip,0.0
Lat,Lat,0.0
Lng,Lng,0.0
Population,Population,0.0
Area,Area,0.0
Timezone,Timezone,0.0
Job,Job,0.0
Children,Children,24.95
Age,Age,24.75
Education,Education,0.0
Employment,Employment,0.0
Income,Income,24.9
Marital,Marital,0.0
Gender,Gender,0.0
Churn,Churn,0.0
Outage_sec_perweek,Outage_sec_perweek,0.0
Email,Email,0.0
Contacts,Contacts,0.0
Yearly_equip_failure,Yearly_equip_failure,0.0
Techie,Techie,24.77
Contract,Contract,0.0
Port_modem,Port_modem,0.0
Tablet,Tablet,0.0
InternetService,InternetService,0.0
Phone,Phone,10.26
Multiple,Multiple,0.0
OnlineSecurity,OnlineSecurity,0.0
OnlineBackup,OnlineBackup,0.0
DeviceProtection,DeviceProtection,0.0
TechSupport,TechSupport,9.91
StreamingTV,StreamingTV,0.0
StreamingMovies,StreamingMovies,0.0
PaperlessBilling,PaperlessBilling,0.0
PaymentMethod,PaymentMethod,0.0
Tenure,Tenure,9.31
MonthlyCharge,MonthlyCharge,0.0
Bandwidth_GB_Year,Bandwidth_GB_Year,10.21
item1,item1,0.0
item2,item2,0.0
item3,item3,0.0
item4,item4,0.0
item5,item5,0.0
item6,item6,0.0
item7,item7,0.0
item8,item8,0.0
